TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
49ers,28,1298,4.2,69,22.1,29,6.6,71,16.1
Bears,20.1,1030,3.7,76,27.4,37,7.5,72,14.6
Bengals,30.9,1840,4.9,53,14.1,26,5.7,66,14.3
Bills,24.4,1284,4.1,88,28,31,7.5,75,18.2
Broncos,21.8,1465,4.7,68,21.9,37,7.8,78,16.5
Browns,26,1637,4.8,74,21.6,29,5.6,71,13.6
Buccaneers,29.6,1452,5,73,24.9,33,7.4,78,17.6
Cardinals,25.8,1691,4.5,93,24.7,38,8.6,77,17.5
Chargers,20.8,1248,4.4,58,20.3,29,6.5,68,15.2
Chiefs,27.2,1464,5.1,64,22.1,39,7.2,79,14.5
Colts,23.2,1249,3.9,84,26,30,6.9,62,14.3
Cowboys,18.6,1095,3.7,70,23.5,33,7.7,79,18.5
Dolphins,25,1736,5,60,17.1,20,4.8,50,12.1
Eagles,22.2,1244,5,70,28.3,31,6.4,100,20.8
Falcons,27.8,1568,4.9,39,12.3,23,5.1,50,11.2
Giants,26.2,1499,4.4,59,17.4,19,4.3,58,13.3
Jaguars,20.2,1301,4.1,62,19.5,24,5.8,66,15.8
Jets,25.6,1540,4.5,61,17.8,25,5.5,76,16.7
Lions,26.3,1437,4.7,53,17.4,34,8.6,59,14.9
Packers,23.9,1534,4.6,60,17.9,38,8.9,65,15.2
Panthers,25.5,1155,4.1,88,31.1,29,6.4,62,13.7
Patriots,21.6,1280,4.6,49,17.5,19,3.8,71,14.1
Raiders,30.6,1839,5,40,10.8,10,2.8,36,10.1
Rams,24.8,1421,5.1,72,25.6,33,7.5,79,17.9
Ravens,17.8,1047,3.8,72,26.1,35,7.7,74,16.3
Redskins,21.4,1233,4.2,56,19.2,32,6.9,70,15
Saints,22.4,905,3.5,74,29,37,8,72,15.6
Seahawks,21.6,1401,5.1,62,22.5,31,7,73,16.6
Steelers,23.5,1205,4.2,80,27.8,41,8.7,91,19.2
Texans,19.6,1096,3.7,73,24.9,34,7.2,74,15.7
Titans,20.4,1437,4.4,66,20.4,29,7,64,15.3
Vikings,22.5,1190,3.7,74,23.3,36,8.5,71,16.7