Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLossPercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,OpponentRushingTouchdowns
SF,26.9,350,823,4459,5.4,271,170,37.1,48,62.5,1401,4.1,22.1,6.4,16.5,453,61.6,3058,6.8,11,28,100,10
CHI,19,247,832,4029,4.8,232,180,34.4,32,56.2,1082,3.7,27.9,7.4,14.8,502,61.8,2947,5.9,9.5,21,71,4
CIN,30.5,397,893,5485,6.1,318,182,52.7,50,68,1925,4.8,14.2,5.7,14.1,463,66.7,3560,7.7,11.5,27,99,17
BUF,24.6,320,779,3778,4.8,242,166,38,42,71.4,1362,4,26.9,7.1,17.2,406,63.8,2416,6,9.3,19,83,14
DEN,21.7,282,849,4984,5.9,264,175,38.9,37,56.8,1549,4.5,21.7,7.9,16.7,468,64.5,3435,7.3,11.4,23,90,8
CLE,25.5,332,933,5346,5.7,316,175,37.7,46,63,1733,4.7,21.2,5.3,13.3,535,62.6,3613,6.8,10.8,19,83,17
TB,29.5,383,798,5043,6.3,289,143,38.5,46,82.6,1552,4.8,23.8,7.2,17.5,441,72.8,3491,7.9,10.9,29,110,16
ARI,25.2,327,872,4554,5.2,285,169,37.3,42,61.9,1813,4.4,24,8.4,17,425,68,2741,6.4,9.5,17,93,18
LAC,20.8,270,794,4314,5.4,255,164,39.6,41,51.2,1392,4.4,19.8,6.7,15.1,444,64,2922,6.6,10.3,19,86,9
KC,27,351,902,5325,5.9,338,159,39.6,47,72.3,1662,5.1,20.4,7.3,14.6,532,63.5,3663,6.9,10.8,25,91,15
IND,23.1,300,824,4489,5.4,263,167,41.9,37,54.1,1338,3.8,27,7.4,14.5,441,71.9,3151,7.1,9.9,19,96,10
DAL,18.9,246,773,4074,5.3,237,161,41,37,48.6,1129,3.6,24.7,7.6,18.2,426,68.8,2945,6.9,10.1,19,95,7
MIA,25.6,333,839,5214,6.2,286,159,42.8,48,58.3,1813,4.8,16.6,4.8,12,437,65.7,3401,7.8,11.9,26,91,10
PHI,22.7,295,821,4992,6.1,252,171,38,47,44.7,1386,4.9,27.6,6.3,20.3,504,67.5,3606,7.2,10.6,20,95,10
ATL,28.2,367,826,5030,6.1,306,158,51.3,44,72.7,1706,5,14.3,5.6,11.4,457,69.1,3324,7.3,10.5,27,102,15
NYG,25.5,331,833,4820,5.8,274,164,39,47,51.1,1583,4.4,18.8,5.1,14,448,65,3237,7.2,11.1,18,86,14
JAX,21,273,792,4213,5.3,238,171,38,38,52.6,1565,4.5,19.1,5.7,15.2,417,61.4,2648,6.4,10.3,15,82,14
NYJ,25.4,330,867,4885,5.6,269,181,33.7,45,48.9,1716,4.6,17.4,5.7,17.4,466,60.9,3169,6.8,11.2,21,85,14
DET,24.5,319,764,4533,5.9,270,145,39.3,40,60,1498,4.6,18.2,8.4,15.3,402,67.2,3035,7.5,11.2,25,104,10
GB,23.6,307,830,4566,5.5,264,177,37.3,44,56.8,1641,4.6,18.1,8.5,14.6,431,62.9,2925,6.8,10.8,22,93,12
CAR,25.5,332,780,4584,5.9,261,150,40.7,39,74.4,1271,4.2,30.6,6.3,13.2,446,67.5,3313,7.4,11,28,100,11
NE,22.5,293,827,4842,5.9,272,163,40.5,40,62.5,1469,4.9,18.6,4.6,15.2,502,62.2,3373,6.7,10.8,26,88,7
OAK,29.8,388,782,5099,6.5,262,159,46.5,51,58.8,1879,4.8,11.1,2.8,9.9,383,64.2,3220,8.4,13.1,31,107,12
LAR,24.1,313,788,4702,6,268,153,39.9,40,60,1615,5.1,23.7,7.2,17.4,438,64.4,3087,7,10.9,27,92,8
BAL,18.5,241,814,3821,4.7,242,177,34.5,35,65.7,1141,3.8,25.7,7.4,17.4,473,58.8,2680,5.7,9.6,18,82,9
WAS,22.8,297,821,4811,5.9,274,158,43,44,52.3,1460,4.5,18.7,6.9,15.2,461,66.6,3351,7.3,10.9,23,93,11
NO,21.8,283,782,4535,5.8,269,148,39.9,41,63.4,1010,3.6,28.4,8.1,16.3,463,68.3,3525,7.6,11.2,24,98,10
SEA,20.5,266,773,4685,6.1,269,144,36.1,42,52.4,1478,5,21.9,6.9,16.8,443,66.4,3207,7.2,10.9,21,92,9
PIT,23.5,306,824,4301,5.2,266,163,36.8,41,61,1260,4,27.2,8.8,18.8,466,63.9,3041,6.5,10.2,25,95,10
HOU,19.9,259,830,4534,5.5,246,181,38.7,34,73.5,1146,3.6,24.1,7,15.4,478,65.1,3388,7.1,10.9,22,90,7
TEN,19.5,254,807,4346,5.4,242,162,36.4,36,44.4,1497,4.4,21,7.1,15.9,431,64.7,2849,6.6,10.2,17,90,8
MIN,22.4,291,808,4207,5.2,257,148,29.7,44,43.2,1404,3.9,21.4,8.5,16.5,410,64.1,2803,6.8,10.7,15,84,9