Team,Home,PointSpread,OverUnder
KC,TRUE,-3,52.5
HOU,FALSE,-6.5,41
DEN,TRUE,-3,45
IND,TRUE,-3,46.5
JAX,TRUE,-7.5,36
CHI,TRUE,-5.5,45
CIN,TRUE,-3,45.5
ATL,TRUE,-8.5,44
BAL,TRUE,-8,47
BUF,TRUE,-2.5,38.5
MIN,TRUE,-7,44.5
NYG,TRUE,-2.5,43.5
SEA,FALSE,-4.5,44
NE,FALSE,-1.5,52
LAR,TRUE,-9,53.5
NO,FALSE,-6.5,52
LAC,FALSE,3,52.5
NYJ,TRUE,6.5,41
CLE,FALSE,3,45
DAL,FALSE,3,46.5
WAS,FALSE,7.5,36
GB,FALSE,5.5,45
OAK,FALSE,3,45.5
ARI,FALSE,8.5,44
TB,FALSE,8,47
DET,FALSE,2.5,38.5
MIA,FALSE,7,44.5
TEN,FALSE,2.5,43.5
SF,TRUE,4.5,44
PIT,TRUE,1.5,52
PHI,FALSE,9,53.5
CAR,TRUE,6.5,52