Team,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSackedPercentage,OpponentQuarterbackHitsPercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating
SF,21.5,301,891,5099,5.7,307,168,37.5,43,41.9,101,26.2,8.7,22.2,461,62,3371,7.3,11.8,23,86
CHI,27.4,383,890,4845,5.4,294,175,39.4,48,64.6,77,19.1,6.2,11.9,457,65.9,3166,6.9,10.5,27,93
CIN,24.1,337,846,4567,5.4,280,167,38.9,42,71.4,76,24,5.7,11.3,499,61.3,3112,6.2,10.2,25,85
BUF,15.4,215,889,4108,4.6,246,192,31.8,32,56.2,91,21.8,8.5,19.7,432,54.2,2362,5.5,10.1,9,58
DEN,21.9,306,879,4932,5.6,282,179,33,40,57.5,66,19.2,6,16.8,503,62.2,3207,6.4,10.2,16,81
CLE,22.1,309,901,4981,5.5,273,185,34.6,40,70,86,23.3,7.1,13.5,494,61.1,3284,6.6,10.9,23,84
TB,24.6,344,924,5832,6.3,339,164,47.6,52,59.6,74,21.4,6.4,17.4,542,64.9,4464,8.2,12.7,31,90
ARI,13.7,192,785,3404,4.3,212,171,30.4,24,70.8,83,26.5,8.9,19.9,430,57.4,2251,5.2,9.1,13,64
LAC,28.2,395,833,5488,6.6,307,153,40.5,50,62,66,18.7,6,16.9,451,69,3782,8.4,12.2,31,110
KC,35.6,499,882,5982,6.8,344,155,47.1,64,73.4,58,17,4.6,17.6,516,67.1,4380,8.5,12.7,45,114
IND,26.6,372,934,5341,5.7,320,190,48.4,53,67.9,59,16.6,2.8,11.9,562,67.1,3830,6.8,10.2,34,97
DAL,19.7,276,902,4850,5.4,283,190,40,43,44.2,86,21.9,10,19.8,458,67.5,3017,6.6,9.8,17,91
MIA,21.1,295,774,4230,5.5,224,165,30.9,28,50,86,26.2,10.1,20.9,401,64.3,2653,6.6,10.3,24,93
PHI,22.2,311,893,4966,5.6,296,175,38.3,52,57.7,82,24,6.5,16.7,515,69.5,3582,7,10,22,96
ATL,25.4,356,886,5310,6,309,180,45.6,44,63.6,100,33.3,6.8,17.6,546,69.8,4040,7.4,10.6,30,105
NYG,21.9,307,855,4864,5.7,255,179,34.6,45,46.7,98,32.7,8.3,16.6,509,65.4,3440,6.8,10.3,20,90
JAX,16.1,225,896,4469,5,252,204,41.2,30,46.7,75,20.4,8.3,18.8,484,61.4,2902,6,9.8,15,78
NYJ,20.9,292,859,4178,4.9,223,190,32.6,38,44.7,82,22.3,6.3,14,461,56.2,2707,5.9,10.5,15,67
DET,20.3,284,878,4611,5.3,283,178,36,45,51.1,80,23.3,6.9,13.8,498,66.5,3167,6.4,9.6,19,87
GB,23.7,332,891,5190,5.8,288,176,36.9,42,59.5,78,26,7.8,15.1,545,61.7,3696,6.8,11,23,93
CAR,23.8,333,859,5162,6,302,158,40.5,50,64,60,16.9,5.7,12.7,476,67.9,3278,6.9,10.1,25,93
NE,26.7,374,936,5530,5.9,321,178,41.6,50,58,47,11.7,3.6,11.8,516,66.1,3897,7.6,11.4,24,97
OAK,18.6,260,873,4814,5.5,264,174,36.8,41,53.7,84,25.6,8.8,15.8,497,68.2,3427,6.9,10.1,19,94
LAR,32,448,922,5900,6.4,340,166,42.2,71,54.9,72,19.1,5.7,12.5,515,64.5,4093,7.9,12.3,27,97
BAL,24.4,341,1002,5175,5.2,328,204,47.5,52,61.5,54,11.6,5,11.2,510,60.4,3189,6.3,10.4,17,82
WAS,18.9,265,864,4414,5.1,255,183,36.6,38,52.6,94,25.5,7.7,17.7,458,62.2,2822,6.2,9.9,15,80
NO,32.8,459,898,5403,6,336,162,44.4,62,67.7,50,11.8,3.4,9.7,457,74.4,3619,7.9,10.6,31,115
SEA,25.9,363,876,4898,5.6,282,180,38.9,46,65.2,76,16.6,10,19.6,377,66.3,2730,7.2,10.9,31,108
PIT,27.4,384,921,5681,6.2,334,170,45.3,43,76.7,54,17.6,3.3,9.1,594,66.5,4366,7.4,11.1,31,94
HOU,25.1,352,903,5089,5.6,285,181,37.6,52,50,105,25,10.8,24,431,67.5,3264,7.6,11.2,24,100
TEN,19.1,268,838,4449,5.3,258,185,41.1,43,53.5,97,23.6,10.3,15.9,383,67.4,2618,6.8,10.1,14,88
MIN,23.1,323,893,5025,5.6,282,180,37.8,44,54.5,77,24.5,5.9,14.9,545,70.5,3695,6.8,9.6,26,97