PrimeTime,Team,Home,PointSpread,OverUnder
TRUE,DEN,FALSE,-1,42
FALSE,LAC,TRUE,-6.5,45
FALSE,DET,FALSE,-3,47
FALSE,MIN,FALSE,-3.5,46.5
FALSE,PHI,TRUE,-5,45
FALSE,NE,FALSE,-3,49.5
FALSE,IND,TRUE,-7.5,43
FALSE,JAX,TRUE,-5,42
FALSE,TB,TRUE,-3,49.5
FALSE,BAL,TRUE,-2.5,50
FALSE,WAS,TRUE,-1.5,42
FALSE,LAR,FALSE,-10,52.5
FALSE,KC,TRUE,-6,57.5
FALSE,ATL,TRUE,-6,54
TRUE,ARI,TRUE,1,42
FALSE,TEN,FALSE,6.5,45
FALSE,MIA,TRUE,3,47
FALSE,NYJ,TRUE,3.5,46.5
FALSE,CAR,FALSE,5,45
FALSE,CHI,TRUE,3,49.5
FALSE,BUF,FALSE,7.5,43
FALSE,HOU,FALSE,5,42
FALSE,CLE,FALSE,3,49.5
FALSE,NO,FALSE,2.5,50
FALSE,DAL,FALSE,1.5,42
FALSE,SF,TRUE,10,52.5
FALSE,CIN,FALSE,6,57.5
FALSE,NYG,FALSE,6,54